Output File                                                              Name                                            Type      FSH File                       Lines
CapabilityStatement-ISiK-capabilityStatement-vitalparameter-server.json  ISiK-capabilityStatement-vitalparameter-server  Instance  ISiK-CapabilityStatement.fsh   1 - 88
Device-ExampleDevice.json                                                ExampleDevice                                   Instance  instances.fsh                  14 - 17
Observation-ISiKAtemfrequenzExample.json                                 ISiKAtemfrequenzExample                         Instance  ISiK-Atemfrequenz.fsh          19 - 30
Observation-ISiKBlutdruckExample.json                                    ISiKBlutdruckExample                            Instance  ISiK-Blutdruck.fsh             63 - 80
Observation-ISiKEkgExample.json                                          ISiKEkgExample                                  Instance  ISiK-Ekg.fsh                   20 - 44
Observation-ISiKGCSExample.json                                          ISiKGCSExample                                  Instance  ISiK-GCS.fsh                   25 - 39
Observation-ISiKHerzfrequenzExample.json                                 ISiKHerzfrequenzExample                         Instance  ISiK-Herzfrequenz.fsh          19 - 30
Observation-ISiKKoerpergewichtExample.json                               ISiKKoerpergewichtExample                       Instance  ISiK-Koerpergewicht.fsh        19 - 31
Observation-ISiKKoerpergroesseExample.json                               ISiKKoerpergroesseExample                       Instance  ISiK-Koerpergroesse.fsh        19 - 31
Observation-ISiKKoerpertemperaturExample.json                            ISiKKoerpertemperaturExample                    Instance  ISiK-Koerpertemperatur.fsh     19 - 30
Observation-ISiKKopfumfangExample.json                                   ISiKKopfumfangExample                           Instance  ISiK-Kopfumfang.fsh            19 - 30
Observation-ISiKSauerstoffsaettigungExample.json                         ISiKSauerstoffsaettigungExample                 Instance  ISiK-Sauerstoffsaettigung.fsh  19 - 39
Patient-PatientinMusterfrau.json                                         PatientinMusterfrau                             Instance  instances.fsh                  1 - 12
StructureDefinition-ISIKPulmonalarteriellerBlutdruck.json                ISIKPulmonalarteriellerBlutdruck                Profile   ISiK-Blutdruck.fsh             25 - 61
StructureDefinition-ISiKAtemfrequenz.json                                ISiKAtemfrequenz                                Profile   ISiK-Atemfrequenz.fsh          1 - 17
StructureDefinition-ISiKBlutdruck.json                                   ISiKBlutdruck                                   Profile   ISiK-Blutdruck.fsh             1 - 23
StructureDefinition-ISiKEkg.json                                         ISiKEkg                                         Profile   ISiK-Ekg.fsh                   1 - 18
StructureDefinition-ISiKGCS.json                                         ISiKGCS                                         Profile   ISiK-GCS.fsh                   1 - 23
StructureDefinition-ISiKHerzfrequenz.json                                ISiKHerzfrequenz                                Profile   ISiK-Herzfrequenz.fsh          1 - 17
StructureDefinition-ISiKKoerpergewicht.json                              ISiKKoerpergewicht                              Profile   ISiK-Koerpergewicht.fsh        1 - 17
StructureDefinition-ISiKKoerpergroesse.json                              ISiKKoerpergroesse                              Profile   ISiK-Koerpergroesse.fsh        1 - 17
StructureDefinition-ISiKKoerpertemperatur.json                           ISiKKoerpertemperatur                           Profile   ISiK-Koerpertemperatur.fsh     1 - 17
StructureDefinition-ISiKKopfumfang.json                                  ISiKKopfumfang                                  Profile   ISiK-Kopfumfang.fsh            1 - 17
StructureDefinition-ISiKSauerstoffsaettigung.json                        ISiKSauerstoffsaettigung                        Profile   ISiK-Sauerstoffsaettigung.fsh  1 - 17
StructureDefinition-sd-mii-icu-atemfrequenz.json                         SD_MII_ICU_Atemfrequenz                         Profile   MII_ICU_Atemfrequenz.fsh       7 - 47
StructureDefinition-sd-mii-icu-monitoring-und-vitaldaten.json            SD_MII_ICU_Monitoring_Und_Vitaldaten            Profile   MII-MonitoringVitaldaten.fsh   14 - 104
